customer_id_,_Income__,device_id_,online_id_,store_id_,sku_code,item_id_,item_desc,Quantity_Ordered,Price_Each,Order_Date,payment_status,payment_mode_,Order_Status
Cust2172,685628,141930,0,0,2960,39,iPhone,1,400,2018-12-04,Completed ,CC,COMPLETED
Cust1296,203535,3020877,0,0,2084,42,iPhone,1,400,2021-07-14,Completed ,CC,COMPLETED
Cust6440,295476,738961,2667619,3015240,7228,50,iPhone,1,400,2022-10-01,Completed ,CC,COMPLETED
Cust2399,985984,1331557,0,0,3187,39,Google Phone,1,400,2019-07-18,Completed ,CC,COMPLETED
Cust3643,412456,3774744,1183633,285597,4431,5,Flatscreen TV,1,400,2018-08-10,Completed ,CC,COMPLETED
Cust3212,404624,3299738,0,0,4000,31,ThinkPad Laptop,1,400,2021-10-07,Completed ,CC,COMPLETED
Cust1567,949933,2783621,0,0,2355,42,ThinkPad Laptop,1,400,2022-04-09,Completed ,CC,COMPLETED
Cust4015,331434,3585264,226847,2075964,4803,42,Vareebadd Phone,1,400,2020-08-14,Completed ,CC,COMPLETED
Cust5954,436310,3184214,3255446,790774,6742,18,27in FHD Monitor,1,400,2021-06-03,Completed ,CC,COMPLETED
Cust2000,205090,1908041,0,0,2788,43,Wired Headphones,1,400,2018-06-16,Completed ,CC,COMPLETED
Cust3398,599578,0,0,793864,4186,21,Wired Headphones,1,400,2022-04-09,Completed ,CC,COMPLETED
Cust6520,935434,3541360,103985,1630034,7308,38,Wired Headphones,1,400,2022-12-19,Completed ,CC,COMPLETED
Cust5970,897515,1099971,712071,272105,6758,19,Wired Headphones,1,400,2021-06-19,Completed ,CC,COMPLETED
Cust6018,778378,2169465,2040100,2421933,6806,8,Wired Headphones,1,400,2021-08-06,Completed ,CC,COMPLETED
Cust5276,670754,2885352,1873009,801198,6064,18,Wired Headphones,1,400,2019-07-28,Completed ,CC,COMPLETED
Cust2079,655129,481643,0,0,2867,4,Wired Headphones,1,400,2018-09-03,Completed ,CC,COMPLETED
Cust5316,268378,2479063,3377318,3304836,6104,37,LG Washing Machine,1,400,2019-09-06,Completed ,CC,COMPLETED
Cust3445,280211,0,0,954585,4233,13,LG Washing Machine,1,400,2018-01-25,Completed ,CC,COMPLETED
Cust130,135460,0,1822462,0,918,26,USB-C Charging Cable,1,400,2018-05-10,Completed ,CC,COMPLETED
Cust4635,697221,2906767,504787,3353856,5423,17,USB-C Charging Cable,1,400,2022-04-25,Completed ,CC,COMPLETED
Cust4454,158300,505363,1415991,2165438,5242,9,USB-C Charging Cable,1,400,2021-10-26,Completed ,CC,COMPLETED
Cust6507,173785,325032,1117904,2080903,7295,19,USB-C Charging Cable,1,400,2022-12-06,Completed ,CC,COMPLETED
Cust5667,505135,3982306,2618568,3749957,6455,17,USB-C Charging Cable,1,400,2020-08-21,Completed ,CC,COMPLETED
Cust5864,596424,1525019,1777607,397346,6652,16,USB-C Charging Cable,1,400,2021-03-06,Completed ,CC,COMPLETED
Cust5975,326674,804669,3090243,1533351,6763,38,USB-C Charging Cable,1,400,2021-06-24,Completed ,CC,COMPLETED
Cust1989,574215,2412181,0,0,2777,36,AA Batteries (4-pack),1,400,2018-06-05,Completed ,CC,COMPLETED
Cust1056,474355,0,0,2285868,1844,16,AA Batteries (4-pack),1,400,2020-11-17,Completed ,CC,COMPLETED
Cust4212,757845,2210918,394839,2466753,5000,19,AA Batteries (4-pack),1,400,2021-02-26,Completed ,CC,COMPLETED
Cust5743,661285,918779,520856,3318881,6531,14,AA Batteries (4-pack),1,400,2020-11-05,Completed ,CC,COMPLETED
Cust4287,243026,3051797,2563198,1948584,5075,30,AA Batteries (4-pack),1,400,2021-05-12,Completed ,CC,COMPLETED
Cust2014,446760,1967118,0,0,2802,50,AA Batteries (4-pack),1,400,2018-06-30,Completed ,CC,COMPLETED
Cust4908,772078,3527913,1778831,324088,5696,3,AA Batteries (4-pack),1,400,2018-07-26,Completed ,CC,COMPLETED
Cust3723,194989,3636286,1576081,279350,4511,21,AA Batteries (4-pack),1,400,2018-10-29,Completed ,CC,COMPLETED
Cust293,882046,322245,0,0,1081,15,AA Batteries (4-pack),1,400,2018-10-19,Completed ,CC,COMPLETED
Cust5285,148559,2334924,1975339,962570,6073,16,27in 4K Gaming Monitor,1,400,2019-08-06,Completed ,CC,COMPLETED
Cust1160,322128,0,936769,0,1948,8,34in Ultrawide Monitor,1,400,2021-02-28,Completed ,CC,COMPLETED
Cust4606,967829,2984238,733281,3483932,5394,44,34in Ultrawide Monitor,1,400,2022-03-27,Completed ,CC,COMPLETED
Cust386,737283,2444155,0,0,1174,19,AAA Batteries (4-pack),3,400,2019-01-20,Completed ,CC,COMPLETED
Cust386,737283,2444155,0,0,1174,19,AAA Batteries (4-pack),3,400,2019-01-20,Completed ,CC,COMPLETED
Cust5958,165345,2518454,502571,623307,6746,11,AAA Batteries (4-pack),1,400,2021-06-07,Completed ,CC,COMPLETED
Cust4340,968217,1638528,1715189,1534441,5128,19,AAA Batteries (4-pack),1,400,2021-07-04,Completed ,CC,COMPLETED
Cust2994,223876,1719370,0,0,3782,20,AAA Batteries (4-pack),1,400,2021-03-04,Completed ,CC,COMPLETED
Cust6131,313091,1132586,3023406,3660966,6919,12,AAA Batteries (4-pack),1,400,2021-11-27,Completed ,CC,COMPLETED
Cust386,737283,2444155,0,0,1174,19,AAA Batteries (4-pack),3,400,2019-01-20,Completed ,CC,COMPLETED
Cust4128,384244,1900324,2682472,244160,4916,8,AAA Batteries (4-pack),1,400,2020-12-04,Completed ,CC,COMPLETED
Cust386,737283,2444155,0,0,1174,19,AAA Batteries (4-pack),3,400,2019-01-20,Completed ,CC,COMPLETED
Cust5529,876634,3978923,3119570,3239996,6317,29,AAA Batteries (4-pack),1,400,2020-04-06,Completed ,CC,COMPLETED
Cust5959,175360,2154661,2727776,3334227,6747,1,AAA Batteries (4-pack),1,400,2021-06-08,Completed ,CC,COMPLETED
Cust5790,512360,364464,1942583,1435531,6578,34,AAA Batteries (4-pack),1,400,2020-12-22,Completed ,CC,COMPLETED
Cust386,737283,2444155,0,0,1174,19,AAA Batteries (4-pack),3,400,2019-01-20,Completed ,CC,COMPLETED
Cust3906,730139,3231915,3947645,3424840,4694,27,Apple Airpods Headphones,1,400,2020-04-27,Completed ,CC,COMPLETED
Cust2195,539343,3664377,0,0,2983,9,Apple Airpods Headphones,1,400,2018-12-27,Completed ,CC,COMPLETED
Cust3785,410734,1418427,1710155,3131909,4573,16,Apple Airpods Headphones,1,400,2019-12-29,Completed ,CC,COMPLETED
Cust3255,747045,1392640,0,0,4043,17,Apple Airpods Headphones,1,400,2021-11-18,Completed ,CC,COMPLETED
Cust5594,490925,2487622,3145251,3144838,6382,50,Lightning Charging Cable,1,400,2020-06-10,Completed ,CC,COMPLETED
Cust2176,486984,1379701,0,0,2964,9,Lightning Charging Cable,1,400,2018-12-08,Completed ,CC,COMPLETED
Cust4292,938450,3786268,2406034,1580695,5080,13,Lightning Charging Cable,1,400,2021-05-17,Completed ,CC,COMPLETED
Cust4921,227751,2531829,855378,1180258,5709,1,Lightning Charging Cable,1,400,2018-08-08,Completed ,CC,COMPLETED
Cust3333,972171,3088618,0,0,4121,50,Lightning Charging Cable,1,400,2022-02-04,Completed ,CC,COMPLETED
Cust2979,284894,1857803,0,0,3767,20,Lightning Charging Cable,1,400,2021-02-17,Completed ,CC,COMPLETED
Cust5064,400368,183212,1665397,1432303,5852,29,Lightning Charging Cable,1,400,2018-12-28,Completed ,CC,COMPLETED
Cust1488,766492,1412956,0,0,2276,44,Lightning Charging Cable,1,400,2022-01-21,Completed ,CC,COMPLETED
Cust4538,249516,828958,1693256,1723280,5326,15,Bose SoundSport Headphones,1,400,2022-01-18,Completed ,CC,COMPLETED
Cust37,731170,0,0,3949492,825,3,Bose SoundSport Headphones,1,400,2018-02-06,Completed ,CC,COMPLETED
Cust643,354010,2460018,1891118,1325538,1431,5,Bose SoundSport Headphones,1,400,2019-10-04,Completed ,CC,COMPLETED
Cust4980,224415,1349943,3465050,3730931,5768,5,Bose SoundSport Headphones,1,400,2018-10-05,Completed ,CC,COMPLETED
Cust3754,376078,3733649,1453441,125347,4542,4,Bose SoundSport Headphones,1,400,2018-11-29,Completed ,CC,COMPLETED
Cust5221,103537,3972529,3732272,2032360,6009,30,Bose SoundSport Headphones,1,400,2019-06-03,Completed ,CC,COMPLETED
Cust1947,174010,2337814,0,0,2735,24,Bose SoundSport Headphones,1,400,2018-04-24,Completed ,CC,COMPLETED
Cust1031,983046,0,2066553,0,1819,44,iPhone,1,1700,2020-10-23,Completed ,CC,COMPLETED
Cust4299,305965,818274,1226239,738457,5087,23,iPhone,1,1700,2021-05-24,Completed ,CC,COMPLETED
Cust3766,109819,2005908,3737627,2159320,4554,31,iPhone,1,1700,2019-12-10,Completed ,CC,COMPLETED
Cust3116,234669,2726995,0,0,3904,49,iPhone,1,1700,2021-07-03,Completed ,CC,COMPLETED
Cust1313,362365,1541271,0,0,2101,8,Product,1,1700,2021-07-31,Completed ,CC,COMPLETED
Cust4401,121599,2420524,1895369,1655065,5189,50,20in Monitor,1,1700,2021-09-03,Completed ,CC,COMPLETED
Cust1745,302784,204470,0,0,2533,38,20in Monitor,1,1700,2022-10-04,Completed ,CC,COMPLETED
Cust53,325556,0,495091,0,841,48,20in Monitor,1,1700,2018-02-22,Completed ,CC,COMPLETED
Cust3809,736679,908926,1373225,1722983,4597,4,Google Phone,1,1700,2020-01-22,Completed ,CC,COMPLETED
Cust5275,516452,2381788,2662503,184533,6063,41,Google Phone,1,1700,2019-07-27,Completed ,CC,COMPLETED
Cust5331,290093,1278289,261435,880674,6119,41,Google Phone,1,1700,2019-09-21,Completed ,CC,COMPLETED
Cust2896,804599,2511124,0,0,3684,2,Flatscreen TV,1,1700,2020-11-26,Completed ,CC,COMPLETED
Cust4544,985458,2801974,793546,2424877,5332,22,ThinkPad Laptop,1,1700,2022-01-24,Completed ,CC,COMPLETED
Cust4014,774019,1276325,515448,3397562,4802,42,ThinkPad Laptop,1,1700,2020-08-13,Completed ,CC,COMPLETED
Cust2890,396176,1040980,0,0,3678,48,ThinkPad Laptop,1,1700,2020-11-20,Completed ,CC,COMPLETED
Cust1188,918147,0,439258,0,1976,10,Vareebadd Phone,1,1700,2021-03-28,Completed ,CC,COMPLETED
Cust2154,943606,2336661,0,0,2942,3,Vareebadd Phone,1,1700,2018-11-16,Completed ,CC,COMPLETED
Cust5034,310441,2507587,2823258,1916958,5822,29,27in FHD Monitor,1,1700,2018-11-28,Completed ,CC,COMPLETED
Cust4512,584619,2670346,2950068,870401,5300,2,27in FHD Monitor,1,1700,2021-12-23,Completed ,CC,COMPLETED
Cust575,866861,1706027,0,0,1363,27,27in FHD Monitor,1,1700,2019-07-28,Completed ,CC,COMPLETED
Cust4403,947195,1101492,956156,2854787,5191,19,27in FHD Monitor,1,1700,2021-09-05,Completed ,CC,COMPLETED
Cust2960,147593,3421063,0,0,3748,15,27in FHD Monitor,1,1700,2021-01-29,Completed ,CC,COMPLETED
Cust4335,601284,3757486,1818353,1337637,5123,20,27in FHD Monitor,1,1700,2021-06-29,Completed ,CC,COMPLETED
Cust3982,816035,2104911,3759824,2709532,4770,27,27in FHD Monitor,1,1700,2020-07-12,Completed ,CC,COMPLETED
Cust2981,934355,1541724,0,0,3769,2,27in FHD Monitor,1,1700,2021-02-19,Completed ,CC,COMPLETED
Cust2192,537537,548409,0,0,2980,9,27in FHD Monitor,1,1700,2018-12-24,Completed ,CC,COMPLETED
Cust1658,996365,1163209,0,0,2446,3,27in FHD Monitor,1,1700,2022-07-09,Completed ,CC,COMPLETED
Cust4557,976785,2255363,1685121,1521646,5345,45,27in FHD Monitor,1,1700,2022-02-06,Completed ,CC,COMPLETED
Cust2120,922610,405309,0,0,2908,17,27in FHD Monitor,1,1700,2018-10-14,Completed ,CC,COMPLETED
Cust1922,435860,1084461,0,0,2710,12,27in FHD Monitor,1,1700,2018-03-30,Completed ,CC,COMPLETED
Cust2337,296969,447751,0,0,3125,2,Wired Headphones,1,1700,2019-05-17,Completed ,CC,COMPLETED
Cust897,853383,3218020,0,0,1685,32,Wired Headphones,1,1700,2020-06-11,Completed ,CC,COMPLETED
Cust3953,799431,1320469,880958,1460937,4741,43,Wired Headphones,1,1700,2020-06-13,Completed ,CC,COMPLETED
Cust3325,763088,3582308,0,0,4113,13,Wired Headphones,1,1700,2022-01-27,Completed ,CC,COMPLETED
Cust5888,611552,3661883,1145875,1289214,6676,45,Wired Headphones,1,1700,2021-03-30,Completed ,CC,COMPLETED
Cust2424,626560,705694,0,0,3212,23,Wired Headphones,1,1700,2019-08-12,Completed ,CC,COMPLETED
Cust3671,190298,1414730,514989,1348018,4459,12,Wired Headphones,1,1700,2018-09-07,Completed ,CC,COMPLETED
Cust5042,305152,3678057,1907975,808488,5830,48,Wired Headphones,1,1700,2018-12-06,Completed ,CC,COMPLETED
